Interacao,Resumo
de: para: tarefa: olá solicito a exclusão do seguinte usuário no sistema point service. nome: peço que também seja excluido acesso em demais sistemas da empresa. prezado a boa tarde! colaborador desativado do sistema do point servisse.,"Foi solicitada a exclusão do usuário John Keller de Jesus do sistema Point Service, o cancelamento de seu e-mail corporativo e a revogação de seus acessos aos demais sistemas da empresa."
de: para: tarefa: solicito que seja feita a exclusão do john keller do sistema h mirian neves pinheiro anexo :s: prezado a boa tarde! colaborador desativado do sistema do point servisse.,"Foi solicitada a exclusão do usuário do Sistema Neves Pinheiro, juntamente com o procedimento de devolução do crachá, conforme o termo anexado."
"bom dia, preciso do cancelamento dessa o s pois a mesma foi duplicada prezada, boa tarde! ordem de serviço cancelada.",Foi solicitado o cancelamento da ordem de serviço devido à duplicidade.
"bom dia, solicito liberação do contrato emater no point service para o usuário luanderson bem como acesso todas as unidades do contato. prezado, boa tarde! foi vinculado todas as unidades referente ao contrato emater no perfil do luanderson, por gentileza atualizar a pagina caso logado. dúvidas estamos a disposição,","Foi solicitada a liberação do contrato EMATER no sistema Point Service para o usuário, incluindo o acesso a todas as unidades do contrato."
de: para: tarefa: olá solicito a exclusão do seguinte usuário no sistema point service. nome: luiz carlos alves da silva peço que também seja excluido acesso em demais sistemas da empresa. prezada o bom dia! colaborador desativado do sistema do point service.,"Foi solicitada a exclusão do usuário do sistema Point Service, bem como a revogação de seus acessos aos demais sistemas da empresa."
de: para: tarefa: olá solicito a exclusão do seguinte usuário no sistema point service. nome: peço que também seja excluido acesso em demais sistemas da empresa. prezada o bom dia! colaborador desativado do sistema do point service.,"Foi solicitada a exclusão do usuário do sistema Point Service, bem como a revogação de seus acessos aos demais sistemas da empresa."
de: para: tarefa: olá solicito a exclusão do seguinte usuário no sistema point service.bruno martins barbosa nome: peço que também seja excluido acesso em demais sistemas da empresa. prezada o boa tarde! colaborador desativado do sistema do point service.,"Foi solicitada a exclusão do usuário do sistema Point Service, bem como a remoção de seus acessos aos demais sistemas da empresa, devido ao término do contrato de trabalho, conforme o formulário de rescisão anexado."
"boa tarde, venho por meio deste solicitar o cancelamento de uma preventiva da unidade anexo i visto que o ativo foi lançado duplicado. o número da preventiva os demais dados encontram-se na imagem em anexo. fico disposição para quaisquer esclarecimentos. prezada, boa tarde! ordem de serviço cancelada.","Foi solicitado o cancelamento da preventiva 3012471/2025 da unidade ANEXO I, devido ao lançamento duplicado do ativo, conforme os dados fornecidos na imagem anexada."
"bom dia! exclusão de preventiva hospital regional de augustinópolis solicito a exclusão da preventiva oxigênio líquido no local central de gases houve um equívoco no lançamento. caso a solução mais simples seja anulação de todas deste plano de manutenção, não há problema! posso lançar novamente. prezado, boa tarde! gostaria de confirmar com você se a exclusão das ordens de serviço se refere manutenção de oxigênio líquido deste mês ou do mês passado. encontrei um total de ordens de serviço para o setor central de gases neste caso, devo proceder com a exclusão de todas ou existe alguma ordem específica a ser excluída? fico no aguardo de seu retorno para prosseguir com a ação. somente deste mês de março, referência de: luciana mendes de oliveira enviada em: quinta-feira, de março de para: joão da silva oliveira assunto: sus- exclusão de preventiva prezado, boa tarde! obrigada pelo retorno. neste caso foram canceladas desse mês nas condições informadas anteriormente um total de ordens de serviços. dúvidas estamos a disposição,","Foi solicitada a exclusão da preventiva no local ""Central de gases 02"" devido a um erro no lançamento. Caso necessário, a anulação de todas as preventivas do plano de manutenção pode ser realizada para que o lançamento seja feito novamente."
"bom dia! solicito a exclusão de lançamento da preventiva no break do usuário ricardo gomes da silva bezerra do hospital regional de augustinópolis, foram lançamentos que aguardam aprovação, a empresa salux será a responsável daqui em diante pela realização da mesma. referência: fevereiro prezado, bom dia! ordens de serviços canceladas.","Foi solicitada a exclusão dos 11 lançamentos da preventiva ""NO BREAK"" do usuário Ricardo Gomes da Silva Bezerra, do Hospital Regional de Augustinópolis, referente a fevereiro de 2025. Uma empresa será a responsável pela realização da manutenção a partir de agora."
"de: para: tarefa: bom dia! solicito exclusão de usuário no sistema point service valdelíce rodrigues da silva coêlho. que não seja cancelado e-mail corporativo, alterado os dados para nova colaboradora isabela leal dos santos, cancelar somente acesso nos demais sistemas da empresa. prezado a bom dia! colaboradora desativada do sistema do point servisse.","Foi solicitada a exclusão do usuário Valdelíce Rodrigues da Silva Coêlho do sistema Point Service, com a alteração dos dados para a nova colaboradora. Não será cancelado o e-mail corporativo, mas os acessos aos demais sistemas da empresa serão revogados"
de: para: tarefa: olá bom dia! solicito a exclusão da colaboradora valdelice rodrigues guaraí h laryssa souza marinho anexos :s: prezada o bom dia! colaboradora desativada do sistema do point servisse.,"Foi solicitada a exclusão da colaboradora Valdelice Rodrigues da Silva Coêlho do sistema, conforme a solicitação de rescisão anexada. Incluem-se também a cópia do e-mail com autorização da Diretoria para desligamento, além dos documentos de devolução de crachá e EPIs."
"boa tarde, luciana cancela essas preventivas por gentileza motivo dobradas prezada, boa tarde! ordens de serviços canceladas.","Foi solicitada a revisão das preventivas listadas, devido ao motivo de duplicidade (dobradas), conforme os números fornecidos."
de: para: tarefa: olá solicito a exclusão do seguinte usuário no sistema point service. nome: raymor alfonso linares duran peço que também seja excluido acesso em demais sistemas da empresa. prezado a boa tarde! colaborador desativado do sistema do point servisse.,"Foi solicitada a exclusão do usuário Raymor Alfonso Linares Duran do sistema Point Service, bem como a revogação de seus acessos aos demais sistemas da empresa, em razão do término do contrato de trabalho."
de: para: tarefa: olá solicito exclusão de usuário no sistema point service nome: eduardo da costa bernardes também que seja cancelado e-mail corporativo e acesso a demais sistemas da empresa. prezado a boa tarde! colaborador desativado do sistema do point servisse.,"Foi solicitada a exclusão do usuário Reinaldo da Silva do sistema Point Service, bem como a remoção de seus acessos aos demais sistemas da empresa, devido ao término do contrato de trabalho, conforme o formulário e e-mail anexados."
"bom dia, thayla segue número de algumas ordens que precisa ser cancela porque foi lançada para funcionário em locais errados e foi executada. kb bom dia, preventivas canceladas, com exceção da ordem alterei o local dela para sala da porto e coloquei para o técnico elson borges executar. agradeço. já cancelada pela adm thaylla","Foi solicitado o cancelamento das ordens de serviço listadas devido ao lançamento incorreto para funcionários em locais errados, com execução já realizada."
de: para: tarefa: olá solicito a exclusão do seguinte usuário no sistema point service. nome: ana beatriz amorim bizarrias peço que também seja excluido acesso em demais sistemas da empresa. prezada o boa tarde! colaboradora não possui cadastro no sistema do point service.,"Foi solicitada a exclusão do usuário Amorim Bizárria do sistema Point Service, bem como a remoção de seus acessos aos demais sistemas da empresa, devido ao término do contrato de trabalho."
de: para: tarefa: olá solicito a exclusão do seguinte usuário no sistema point service. nome: joão paulo hilário ramos peço que também seja excluido acesso em demais sistemas da empresa. prezada o boa noite! colaborador desativado do sistema do point service.,"Foi solicitada a exclusão do usuário do sistema Point Service, bem como a revogação de seus acessos aos demais sistemas da empresa, em razão do término do contrato de trabalho, conforme o aviso prévio do empregador anexado."
de: para: tarefa: olá solicito a exclusão do seguinte usuário no sistema point service. nome: thyago da silva e silva peço que também seja excluido acesso em demais sistemas da empresa. prezada o boa noite! colaborador desativado do sistema do point service.,"Foi solicitada a exclusão do usuário Thyago da Silva e Silva do sistema Point Service, bem como a remoção de seus acessos aos demais sistemas da empresa, em razão do término do contrato de trabalho, conforme o aviso prévio do empregador anexado."
de: para: tarefa: olá solicito a exclusão do seguinte usuário no sistema point service. nome: francisco airtonfeitosa de oliveira peço que também seja excluido acesso em demais sistemas da empresa. prezada o boa noite! colaborador desativado do sistema do point service.,"Foi solicitada a exclusão do usuário Francisco Airton Feitosa de Oliveira do sistema Point Service, bem como a remoção de seus acessos aos demais sistemas da empresa, em razão do término do contrato de trabalho, conforme o aviso prévio do empregador anexado."
de: para: tarefa: olá solicito a exclusão do seguinte usuário no sistema point service. nome: ronald jose tirado manaure peço que também seja excluido acesso em demais sistemas da empresa. prezada o boa noite! colaborador desativado do sistema do point service.,"Foi solicitada a exclusão do usuário Ronald José Tirado do sistema Point Service, bem como a remoção de seus acessos aos demais sistemas da empresa, em razão do término do contrato de trabalho, conforme o aviso prévio do empregador anexado."
de: para: tarefa: olá solicito a exclusão do seguinte usuário no sistema point service. nome: valterly dias peço que também seja excluido acesso em demais sistemas da empresa. prezada o boa tarde! colaborador a desativado do sistema do point service.,"Foi solicitada a exclusão do usuário do sistema Point Service, bem como a remoção de seus acessos aos demais sistemas da empresa, conforme o pedido de demissão anexado."
"bom dia, estava fazendo a pesquisa de uma preventiva e observei que o filtro não está segurando, após fazer a pesquisa e clicar em voltar, a tela fica sem informação e depois o filtro feito anteriormente some. segue vídeo em anexo. mb prezada o bom dia! solicitação recebida, direcionado ao setor de desenvolvimento para analise e tratativa. retornamos o contato em breve com mais informações. fiz um teste com outra os no status de enviada para aprovação e realmente da problema conforme o video","Foi identificado um problema ao realizar a pesquisa de uma preventiva: o filtro não está sendo mantido após o clique em ""voltar"", resultando em uma tela sem informações e na perda do filtro aplicado. O vídeo demonstrando o problema foi anexado."
de: para: tarefa: olá solicito a exclusão do seguinte usuário no sistema point service. nome: rafael jose astudillo jimenez peço que também seja excluido acesso em demais sistemas da empresa. prezada o boa tarde! colaborador desativado do sistema do point service.,"Foi solicitada a exclusão do usuário do sistema Point Service, bem como a revogação de seus acessos aos demais sistemas da empresa, conforme as cartas e o comprovante de anúncio anexados."
de: para: tarefa: olá solicito a exclusão do seguinte usuário no sistema point service. nome: hermis francisco chacon castillo peço que também seja excluido acesso em demais sistemas da empresa. prezados as bom dia! colaborador desativado do sistema do point service.,"Foi solicitada a exclusão do usuário Hermis Francisco Chacon Castillo do sistema Point Service, bem como a remoção de seus acessos aos demais sistemas da empresa, conforme a carta anexada."
de: para: tarefa: olá solicito a exclusão do seguinte usuário no sistema point service. nome: thiego andrade pinto peço que também seja excluido acesso em demais sistemas da empresa. prezados as bom dia! colaborador desativado do sistema do point service.,"Foi solicitada a exclusão do usuário do sistema Point Service, bem como a remoção de seus acessos aos demais sistemas da empresa, conforme a imagem do WhatsApp anexada."
de: para: tarefa: olá solicito exclusão de usuário no sistema point service nome: alberth jose cedeno também que seja cancelado e-mail corporativo e acesso a demais sistemas da empresa. prezados as bom dia! colaborador desativado do sistema do point service.,"Foi solicitada a exclusão do usuário do sistema Point Service, bem como o cancelamento de seu e-mail corporativo e a remoção de seus acessos aos demais sistemas da empresa, conforme o pedido de desligamento anexado."
"Demissão de Colaborador - Aviso Prévio Trabalhado Bom dia, Solicito a exclusão do usuário do sistema <PERSON> FORMULÁRIO DE RESCISÃO - ALBERTH Alberth Cedeno - pedido de","Foi solicitada a exclusão do usuário do sistema, conforme o formulário de rescisão e o pedido de desligamento anexados."
de: para: tarefa: olá solicito exclusão de usuário no sistema point service nome: ronny eduardo torres tovar também que seja cancelado e-mail corporativo e acesso a demais sistemas da empresa. prezados as bom dia! colaborador desativado do sistema do point service.,"Foi solicitada a exclusão do usuário do sistema Point Service, bem como o cancelamento de seu e-mail corporativo e a remoção de seus acessos aos demais sistemas da empresa, conforme a carta de demissão anexada."
de: para: tarefa: olá solicito a exclusão do seguinte usuário no sistema point service. nome: francisco gilcelio da silva peço que também seja excluido acesso em demais sistemas da empresa. prezados as bom dia! colaborador desativado do sistema do point service.,"Foi solicitada a exclusão do usuário do sistema Point Service, bem como a remoção de seus acessos aos demais sistemas da empresa, conforme a carta de demissão anexada."
"de: para: tarefa: bom dia, solicito que seja feita a exclusão do usuário h danielly brito de araujo anexos :s: prezados as bom dia! colaborador desativado do sistema do point service.","Foi solicitada a exclusão do usuário do sistema, conforme o pedido de desligamento."
de: para: tarefa: olá solicito a exclusão do seguinte usuário no sistema point service. nome: andriws jose hernandez rojas peço que também seja excluido acesso em demais sistemas da empresa. prezados as bom dia! colaborador desativado do sistema do point service.,"Foi solicitada a exclusão do usuário do sistema Point Service, bem como a remoção de seus acessos aos demais sistemas da empresa, conforme solicitado."
de: para: tarefa: olá solicito a exclusão do seguinte usuário no sistema point service. nome: danillo líbano rodrigues peço que também seja excluido acesso em demais sistemas da empresa. prezados as bom dia! colaborador desativado do sistema do point service.,"Foi solicitada a exclusão do usuário Danillo Líbano Rodrigues do sistema Point Service, bem como a remoção de seus acessos aos demais sistemas da empresa, conforme solicitado."
de: para: tarefa: olá solicito a exclusão do seguinte usuário no sistema point service. nome: lucas carlos dos santos soares peço que também seja excluido acesso em demais sistemas da empresa. prezados as bom dia! colaborador desativado do sistema do point service.,"Foi solicitada a exclusão do usuário Lucas Carlos dos Santos Soares do sistema Point Service, bem como a remoção de seus acessos aos demais sistemas da empresa, conforme solicitado."
de: para: cc: tarefa: olá solicito a exclusão do seguinte usuário no sistema point service. nome: fernando ferreira dos santos peço que também seja excluido acesso em demais sistemas da empresa. prezados as bom dia! colaborador desativado do sistema do point service.,"Foi solicitada a exclusão do usuário [nome do colaborador] no sistema Point Service, além da remoção de seus acessos em outros sistemas da empresa. Foi anexada a carta de desligamento."
de: para: tarefa: olá solicito a exclusão do seguinte usuário no sistema point service. nome: jose david larez basanta peço que também seja excluido acesso em demais sistemas da empresa. prezados as bom dia! colaborador desativado do sistema do point service.,"Foi solicitada a exclusão do usuário no sistema Point Service, além da remoção de seus acessos em outros sistemas da empresa. Foi anexado o aviso prévio do empregador."
de: para: tarefa: olá solicito a exclusão do seguinte usuário no sistema point service. nome: marcone cruz da silva peço que também seja excluido acesso em demais sistemas da empresa. prezados as bom dia! colaborador desativado do sistema do point service.,"Foi solicitada a exclusão do usuário no sistema Point Service, além da remoção de seus acessos em outros sistemas da empresa. Foi anexado o aviso prévio do empregador."
de: para: tarefa: olá solicito a exclusão do seguinte usuário no sistema point service. nome: carlos andre augustinho da costa peço que também seja excluido acesso em demais sistemas da empresa. prezados as bom dia! colaborador desativado do sistema do point service.,"Foi solicitada a exclusão do usuário no sistema Point Service, além da remoção de seus acessos em outros sistemas da empresa. Foi anexado o aviso prévio do empregador."
de: para: tarefa: olá solicito a exclusão do seguinte usuário no sistema point service. nome: luis alejandro herrera peço que também seja excluido acesso em demais sistemas da empresa. prezados as bom dia! colaborador desativado do sistema do point service.,"Foi solicitada a exclusão do usuárioa no sistema Point Service, além da remoção de seus acessos em outros sistemas da empresa. Foi anexado o aviso prévio do empregador."
de: para: tarefa: olá solicito exclusão de usuário no sistema point service nome: isis de araujo dos santos também que seja cancelado e-mail corporativo e acesso a demais sistemas da empresa. prezada o boa tarde! colaborador a desativado do sistema do point service.,"Foi solicitada a exclusão do acesso do colaborador Isis de no sistema, conforme o aviso prévio trabalhado e carta anexada."
"boa tarde! solicito a importação dos dados para o point service das planilhas em anexo referente a ata da saúde e educação rr. mb kb prezados, boa tarde! solicitação recebida, direcionado ao sr leonardo para tratativa, retornamos o contato em breve. bom dia, solicitação encaminhada ao, já alinhei também com a nathally. devemos apagar os dados atuais? ou os dados enviados são apenas para novos registros? a gessica te respondeu a respeito disso?","Foi solicitada a importação dos dados das planilhas anexas para o Point Service, referentes à ata da Saúde e Educação."
"identificado que os aparelhos da marca lg k k estão com problema de layout no aplicativo do ps, abaixo segue video de aparelhos publicação da semana passada corrigiu o erro.",Foi identificado um problema de layout no aplicativo do PS nos aparelhos das marcas LG K20 e K40. Foram enviados vídeos demonstrando o problema de dois aparelhos diferentes para análise.
"boa tarde! solicito por gentileza a criação de dois logins para acesso ao point service conforme dados abaixo: nome: lígia guilherme figueiredo cpf: telefone: nome: janeson adriano cabral pereira cpf: telefone: prezada, boa tarde! para dar prosseguimento ao cadastro, me informe por gentileza qual será o papel deles no point service para liberar o acesso conforme o uso. fico no aguardo, oi, boa tarde! eles sã analistas de planejamento, responsáveis pelo lançamento das ordens de serviço e medições. prezada, boa tarde! obrigada pelo retorno da informação. vou dar andamento as solicitações e envio por e-mail deles as senhas de acesso ao sistema. retorno o contato em breve.","Solicita-se a criação de dois logins de acesso ao sistema Point Service, conforme informações fornecidas."
"boa tarde, cadastra esse usuário por favor. nome: josé antônio da silva neto telefone: cpf: matrícula: unidade: hospital regional de gurupi permissão: monitoramento","Foi solicitado o cadastro de um novo usuário,  para a unidade Hospital Regional de Gurupi, com permissão de Monitoramento."
"olá pessoal! hoje consegui parar para levantar alguns pontos do mapa de colaboradores, que acredito ser necessário ajustar para melhorar o funcionamento: segue o link do vídeo com os pontos abordados: se ficarem dúvidas, estou disposição. prezados, boa tarde! solicitação enviado ao setor de desenvolvimento para analise e tratativa, retornamos o contato em breve. boa tarde. fizemos alguns ajustes hoje mais cedo que serão publicados como correção. vou passar o chamado para o time de desenvolvimento para ver o que mais pode ser feito. obrigado ricart. para facilitar vour encaminhar os itens citados no vídeo: um pouco mais lento que o mapa anterior, quando tento utiliza-lo qual o tempo necessário para aparecer no mapa um registro de uma unidade nova, pois houve a instalação de um kit em uma unidade nova, e não aparecia os colaboradores no mapa. no outro dia, notei que apareceu. enquanto no arcgis era imediato. quando há mais de um usuário no mesmo ponto, e clico para ver quem só consigo ver um usuário, se tiver no mesmo local, não consigo saber quem se possível incluir o mapa de satélite camadas para selecionar os contratos ter uma opção marcar desmarcar todos colaboradores aparecendo mais de uma vez, exemplo: hospital geral de roraima tabela de atributos: ter a contagem de registros que estão aparecendo. filtrar na tabela de atributos somente os colaboradores que estão no zoom do mapa naquele momento quando clicar em usuário da tabela de atributos, mostrar no mapa onde ele está destacando-o. não mencionado no vídeo: o meu usuário, quando logo no aplicativo, o sistema registra a localização dele por gps que tenho olá pessoal, temos novidades a respeito dessas sugestões? tem algo publicado que posso testar?","Foi informado que, após análise do mapa de colaboradores, foram identificados alguns pontos que necessitam de ajustes para melhorar o funcionamento."
de: para: tarefa: olá solicito a exclusão do seguinte usuário no sistema point service. nome: adriana queiroz de sousa peço que também seja excluido acesso em demais sistemas da empresa. prezada o boa tarde! colaboradora desativada no sistema do point service.,"Foi solicitado a exclusão da colaboradora do sistema Point Service, bem como o cancelamento de seu acesso nos demais sistemas da empresa. Documento de devolução de crachá foi anexado para formalização do processo."
de: para: tarefa: olá solicito a exclusão do seguinte usuário no sistema point service. nome: luiz carlos souza peço que também seja excluido acesso em demais sistemas da empresa. prezada o boa tarde! colaborador desativado do sistema do point service.,"Foi solicitado a exclusão do colaborador do sistema Point Service, bem como o cancelamento de seu acesso nos demais sistemas da empresa. Documento relacionado ao aviso prévio foi anexado para formalização do processo."
"bom dia fazer o cadastro dos funcionários no point service. agradeço, kb prezado, boa tarde! alguns colaboradores não conseguir fazer o cadastro devido a falta de informação, exemplo o cpf falta numero, os que falta acrescenta o zero na frente? e as unidades seria quais para eles? fico no aguardo, aguardando retorno do cliente boa tarde me passe os nomes que ficou faltando que vejo pra você prezado, boa tarde! segue os nomes: nome: função: cpf: alexsandro juvino da silva pintor aline raysa mamedio bizarrias da silva menor aprendiz ana beatriz amorim bizarrias menor aprendiz ana laura zozimo vieira analista de engenharia anderson pereira viana pintor carlos eduardo de sousa miranda menor aprendiz christofer torreias goncalves encarregado multi- setorial clara letizia oliveira da silva matos menor aprendiz dhonatan assis de lima gesseiro dimaney silva de almeida ajudante de manutenção elcio da silva lopes ajudante de manutenção francisco gilcelio da silva ajudante de manutenção fransergio de souza dos reis ajudante de manutenção gustavo henrique rosa melo estagiario de engenharia civil irison gabriel rodrigues de araujo menor aprendiz isabelle alves da silva estagiario de engenharia civil ismael souza da silva ajudante de manutenção jairon mires melo da silva vigia janaina da silva maciel assistente administrativo iii janeson adriano cabral pereira analista de engenharia joao paulo de souza martins auxiliar administrativo jose gregorio placencio cotua ajudante de manutenção jose wilson sampaio de moraes pintor kayky carlos de melo barbosa menor aprendiz kayllan rangel da silva ajudante de manutenção keice helen rodrigues ferreira aux de serv técnico assist de engenharia i ligia guilherme figueiredo analista de engenharia lorrayne michele alves sousa silva menor aprendiz lucas freitas do nascimento analista de engenharia maria luiza de souza rodrigues menor aprendiz marise de sousa lima menor aprendiz marta cunha de sousa menor aprendiz miguel dos santos cunha menor aprendiz ozemir filho de lima oliveira tecnico de segurança pablo henrique araujo da silva menor aprendiz pamela mirely marques braga menor aprendiz pedro campelo pereira silva analista de engenharia pedro henrique paulino moreira menor aprendiz rian robson barros do nascimento aux de serv técnico assist de engenharia i ruan menezes de sousa menor aprendiz ryan albuquerque de oliveira ajudante de manutenção sebastiao pacheco de lima pedreiro thais de sousa lima menor aprendiz tiogo kelvin lucio kaitan campos menor aprendiz victor emanuel souza da silva menor aprendiz victor mathias barbosa sanguanini estagiario de engenharia civil wermerson ferreira costa marceneiro fico no aguardo, boa tarde segue em anexo kb luciana oliveira reacted to your message:",Pedido de cadastro de funcionário
"prezados, solicito o cadastro de fiscal no sistema, com a permissão de lançar solicitações e aprovar preventivas. obs. a fiscal atual entrará de licença, por isso colocaremos uma nova fiscal de forma provisória. segue abaixo os dados: unidade: arraias to região sul nome completo: larissa fernandes de santana telefone: cpf: prezada, bom dia! desculpa o retorno da informação. foi feito o cadastro da colaboradora fiscal e enviado o e-mail com o link e dados de acesso ao sistema.","Foi solicitado o cadastro de um novo fiscal no sistema, com permissão para lançar solicitações e aprovar preventivas. A inclusão é provisória, devido à licença da fiscal atual."
"bom dia, gostaria de cancelar as seguintes preventivas. motivo: duplicadas. são no total, todas no seguinte filtro. hospital e maternidade dona regina. bom dia, preventivas canceladas. prezadas, bom dia! gostaria de informar que, a partir de agora, os cancelamentos serão realizados pela thaylla, e não será mais necessário o envio de e-mail para o ela já tem acesso ferramenta necessária para processar os cancelamentos diretamente. caso tenham alguma dúvida, fiquem vontade para entrar em contato.","Foi solicitado o cancelamento de 40 preventivas, devido à duplicidade."
"boa noite, por gentileza alterar a mensagem de erro que aparece no vídeo, quando o usuário pesquisa pelo campo errado, pois a mensagem não ajuda o próprio usuário a enxergar o que ele está fazendo de errado. qualquer dúvida, fico disposição. mb prezados, bom dia! solicitação recebida, direcionado ao setor de desenvolvimento para tratativa, retornamos o contato em breve.","Foi solicitado o ajuste na mensagem de erro exibida durante a pesquisa no sistema, conforme mostrado no vídeo. A mensagem atual não orienta adequadamente o usuário sobre o erro cometido. A solicitação pede uma reformulação para tornar a informação mais clara e útil."
de: para: tarefa: olá solicito a exclusão do seguinte usuário no sistema point service. nome: francemilto da silva pereira peço que também seja excluido acesso em demais sistemas da empresa. prezada o boa tarde! colaborador a desativado do sistema do point service.,"Foi solicitada a exclusão do usuário a do sistema Point Service, bem como o cancelamento de seu acesso aos demais sistemas da empresa."
de: para: tarefa: olá solicito exclusão de usuário no sistema point service nome: isis de araujo dos santos também que seja cancelado e-mail corporativo e acesso a demais sistemas da empresa. prezada o boa tarde! colaborador a desativado do sistema do point service.,"Foi solicitada a exclusão do usuário do sistema Point Service, com o cancelamento de seu e-mail corporativo e acesso aos demais sistemas da empresa."
